"","date","EVI_hectareID_NA","EVI_sd_hectareID_NA"
"1",2018-12-17,0.468013,0.171807
"2",2018-12-22,0.441382,0.182503
"3",2018-12-27,0.430044,0.177518
"4",2019-01-01,0.441446,0.163328
"5",2019-01-06,0.319919,0.254536
"6",2019-01-11,0.434818,0.201205
"7",2019-01-16,0.018633,0.021534
"8",2019-01-21,0.312434,0.232105
"9",2019-01-26,0.304931,0.230276
"10",2019-01-31,0.468235,0.178703
"11",2019-02-05,0.452948,0.194493
"12",2019-02-10,0.404714,0.187616
"13",2019-02-15,0.398599,0.221822
"14",2019-02-20,0.504028,0.162017
"15",2019-02-25,0.480589,0.158071
"16",2019-03-02,0.435261,0.197295
"17",2019-03-07,0.278735,0.218291
"18",2019-03-12,0.390248,0.189585
"19",2019-03-17,0.38265,0.191023
"20",2019-03-27,0.382744,0.194502
"21",2019-04-01,0.40563,0.212867
"22",2019-04-06,0.43193,0.197791
"23",2019-04-11,0.198731,7.076736
"24",2019-04-16,0.406399,0.202689
"25",2019-04-21,0.379383,0.214812
"26",2019-04-26,0.407301,1.315724
"27",2019-05-01,0.425758,0.202198
"28",2019-05-06,0.382522,0.185375
"29",2019-05-11,0.503997,0.143545
"30",2019-05-16,0.345661,0.063248
"31",2019-05-21,0.469904,0.20355
"32",2019-05-26,0.484876,0.129534
"33",2019-05-31,0.496139,0.160302
"34",2019-06-05,0.349484,0.090966
"35",2019-06-10,0.492186,0.154358
"36",2019-06-15,0.370216,0.344368
"37",2019-06-20,0.442984,0.180951
"38",2019-06-25,0.496113,0.126574
"39",2019-06-30,0.472644,0.141661
"40",2019-07-05,0.44923,0.16567
"41",2019-07-15,0.496121,0.117264
"42",2019-07-20,0.3589,0.1677
"43",2019-07-25,0.343176,0.168292
"44",2019-07-30,0.476622,0.166179
"45",2019-08-04,0.365195,0.119816
"46",2019-08-09,0.441448,0.145772
"47",2019-08-14,0.367884,0.237098
"48",2019-08-19,0.488364,0.150293
"49",2019-08-24,0.390728,0.191406
"50",2019-08-29,0.308412,0.118209
"51",2019-09-03,0.453045,0.168403
"52",2019-09-08,0.406791,0.091019
"53",2019-09-13,0.476487,0.178627
"54",2019-09-18,0.425785,0.17892
"55",2019-10-03,0.297096,0.305443
"56",2019-10-08,0.417942,0.154902
"57",2019-10-13,0.434666,0.183636
"58",2019-10-18,0.44527,0.178355
"59",2019-10-23,0.32858,0.093268
"60",2019-10-28,0.492088,0.166659
"61",2019-11-02,0.449436,0.161443
"62",2019-11-07,0.484146,0.176611
"63",2019-11-12,0.433645,0.173846
"64",2019-11-17,0.305072,0.14445
"65",2019-11-22,0.398275,0.187106
"66",2019-11-27,0.421563,0.185274
"67",2019-12-02,0.341863,0.137786
"68",2019-12-07,0.558873,0.226023
"69",2019-12-12,0.44522,0.165911
"70",2019-12-17,0.57093,0.173949
"71",2019-12-22,0.53943,0.169804
"72",2019-12-27,0.48052,0.150603
"73",2020-01-01,0.480439,0.183042
"74",2020-01-06,0.515826,0.183185
"75",2020-01-11,0.527349,0.18273
"76",2020-01-16,0.405363,0.16731
"77",2020-01-31,0.376469,0.198524
"78",2020-02-05,0.460804,0.184216
"79",2020-02-10,0.476671,0.143313
"80",2020-02-15,0.343774,0.164281
"81",2020-02-20,0.413958,0.191871
"82",2020-02-25,0.398377,0.198767
"83",2020-03-01,0.429966,0.25826
"84",2020-03-16,0.441851,0.191303
"85",2020-03-26,0.363394,0.132272
"86",2020-03-31,0.435202,0.21009
"87",2020-04-15,0.41794,0.17478
"88",2020-04-20,0.46097,0.14614
"89",2020-04-25,0.460835,0.186667
"90",2020-04-30,0.480547,0.186986
"91",2020-05-05,0.410628,0.822448
"92",2020-05-10,0.503862,0.147276
"93",2020-05-15,0.503947,0.147975
"94",2020-05-20,0.414098,0.14144
"95",2020-05-25,0.572288,0.071858
"96",2020-05-30,0.314426,0.091944
"97",2020-06-04,0.445508,0.213353
"98",2020-06-09,0.480516,0.177434
"99",2020-06-14,0.371113,0.234964
"100",2020-06-19,0.349587,0.105034
"101",2020-06-24,0.503917,0.129401
"102",2020-06-29,0.223216,7.52273
"103",2020-07-04,0.406928,0.204192
"104",2020-07-09,0.472619,0.180466
"105",2020-07-14,0.461024,0.17982
"106",2020-07-19,0.23863,0.191948
"107",2020-07-24,0.406203,0.172974
"108",2020-07-29,0.368339,0.198819
"109",2020-08-03,0.404689,0.182447
"110",2020-08-08,0.407051,0.18376
"111",2020-08-13,0.453046,0.173354
"112",2020-08-18,0.434118,0.175883
"113",2020-08-23,0.488354,0.134481
"114",2020-08-28,0.445213,0.200199
"115",2020-09-02,0.296144,0.268148
"116",2020-09-07,0.432486,0.715867
"117",2020-09-12,0.44528,0.169179
"118",2020-09-17,0.436192,0.178809
"119",2020-09-22,0.413648,0.163391
"120",2020-09-27,0.457004,0.162034
"121",2020-10-02,0.452862,0.182967
"122",2020-10-07,0.480658,0.129449
"123",2020-10-17,0.48826,0.1434
"124",2020-10-22,0.405695,0.172256
"125",2020-10-27,0.425762,0.143277
"126",2020-11-01,0.013809,0.063347
"127",2020-11-11,0.449213,0.146708
"128",2020-11-26,0.405535,0.211851
"129",2020-12-01,0.531081,0.199648
"130",2020-12-06,0.417954,0.164691
"131",2020-12-11,0.543076,0.161831
"132",2020-12-16,0.492286,0.153587
"133",2020-12-21,0.409255,0.251665
"134",2020-12-26,0.282438,0.077946
"135",2020-12-31,0.402397,0.119982
"136",2021-01-05,0.386662,0.12255
"137",2021-01-10,0.582087,0.142355
"138",2021-01-15,0.415652,0.010664
"139",2021-01-20,0.433268,0.191834
"140",2021-01-25,0.27733,0.157324
"141",2021-01-30,0.405306,0.184721
"142",2021-02-04,0.421754,0.186967
"143",2021-02-14,0.441335,0.172277
"144",2021-02-19,0.260174,0.089829
"145",2021-02-24,0.413947,0.191595
"146",2021-03-01,0.480505,0.134778
"147",2021-03-06,0.496192,0.129814
"148",2021-03-11,0.511852,0.143662
"149",2021-03-16,0.449223,0.168115
"150",2021-03-21,0.396455,0.142922
"151",2021-03-26,0.368316,0.219165
"152",2021-03-31,0.476894,0.142136
"153",2021-04-05,0.194423,0.053229
"154",2021-04-10,0.364693,0.222996
"155",2021-04-15,0.406393,0.15557
"156",2021-04-20,0.413929,0.144433
"157",2021-04-25,0.433575,0.167939
"158",2021-04-30,0.428012,0.157294
"159",2021-05-05,0.40655,0.186705
"160",2021-05-10,0.200783,0.103122
"161",2021-05-15,0.433645,0.11929
"162",2021-05-20,0.464867,0.16108
"163",2021-05-25,0.390828,0.179122
"164",2021-05-30,0.449267,0.157457
"165",2021-06-04,0.239737,0.109357
"166",2021-06-09,0.235455,0.354419
"167",2021-06-14,0.588097,0.109124
"168",2021-06-24,0.436427,0.1895
"169",2021-07-04,0.461071,0.148422
"170",2021-07-09,0.480503,0.119199
"171",2021-07-14,0.359297,0.169543
"172",2021-07-19,0.445404,0.162906
"173",2021-07-24,0.60451,0.230622
"174",2021-07-29,0.464866,0.117691
"175",2021-08-03,0.359434,0.175355
"176",2021-08-08,0.313555,0.159375
"177",2021-08-13,0.335635,0.435824
"178",2021-08-18,0.309066,0.182627
"179",2021-08-23,0.311613,0.179594
"180",2021-08-28,0.359108,0.192947
"181",2021-09-02,0.098547,0.149215
"182",2021-09-07,0.288988,0.11759
"183",2021-09-12,0.413935,0.167456
"184",2021-09-17,0.45309,0.190104
"185",2021-09-27,0.369078,0.191183
"186",2021-10-02,0.414045,0.185425
"187",2021-10-07,0.398405,0.162162
"188",2021-10-12,-0.009946,0.08838
"189",2021-10-17,0.44518,0.165502
"190",2021-10-22,0.077118,0.162839
"191",2021-10-27,0.422023,0.199878
"192",2021-11-01,0.345549,0.57025
"193",2021-11-06,0.394523,0.16845
"194",2021-11-11,0.445123,0.162419
"195",2021-11-16,-0.017623,0.053633
"196",2021-11-26,0.438565,0.20628
"197",2021-12-01,0.027079,0.274258
"198",2021-12-06,0.405326,0.184329
"199",2021-12-11,0.144295,0.153884
"200",2021-12-16,0.467703,0.188126
"201",2021-12-21,0.216699,0.206829
"202",2021-12-31,0.49604,0.188959
