"","date","VH_hectareID_NA","VH_sd_hectareID_NA"
"1",2016-01-10,-13.374003,2.623666
"2",2016-01-22,-12.874236,2.029941
"3",2016-02-03,-13.6243095,2.666118
"4",2016-02-15,-13.873711,2.622657
"5",2016-02-27,-13.873837,2.748228
"6",2016-03-10,-14.123943,2.805631
"7",2016-04-03,-12.624593,2.065388
"8",2016-04-15,-13.624368,2.396908
"9",2016-04-27,-13.873856,2.498441
"10",2016-05-09,-13.874383,2.49217
"11",2016-05-21,-12.874217,1.929497
"12",2016-06-02,-13.374916,2.182704
"13",2016-06-14,-13.624503,1.979739
"14",2016-07-08,-13.124536,1.999168
"15",2016-07-20,-13.374903,2.09942
"16",2016-08-01,-13.874392,2.060586
"17",2016-08-13,-14.124139,2.24443
"18",2016-08-25,-13.374858,2.009072
"19",2016-09-06,-13.374663,2.045995
"20",2016-09-18,-14.124232,2.381372
"21",2016-09-30,-13.624394,2.132507
"22",2016-10-12,-13.874663,2.273639
"23",2016-10-24,-13.624239,2.262411
"24",2016-11-05,-13.873982,2.417055
"25",2016-11-17,-12.375043,1.927788
"26",2016-11-29,-13.374576,2.134862
"27",2016-12-11,-14.12435,2.221518
"28",2016-12-23,-13.374457,2.079831
"29",2017-01-04,-13.874511,2.141222
"30",2017-01-16,-13.874337,2.264749
"31",2017-01-28,-13.624401,2.407964
"32",2017-02-09,-12.375073,1.761969
"33",2017-02-21,-12.624269,1.836506
"34",2017-03-05,-14.123904,2.318855
"35",2017-03-17,-12.624495,1.792053
"36",2017-03-29,-13.124623,1.789743
"37",2017-04-10,-13.124114,1.869706
"38",2017-04-22,-14.125087,2.131854
"39",2017-05-04,-12.874508,1.883224
"40",2017-05-16,-14.124287,2.181988
"41",2017-05-28,-12.624934,1.932023
"42",2017-06-09,-13.124681,1.920393
"43",2017-06-21,-13.624849,1.970312
"44",2017-07-03,-12.624409,1.854847
"45",2017-07-15,-12.874388,2.083278
"46",2017-07-27,-13.374445,2.064938
"47",2017-08-08,-13.624612,2.061607
"48",2017-08-20,-13.874498,2.139503
"49",2017-09-01,-13.624206,2.077199
"50",2017-09-13,-13.624537,2.046524
"51",2017-09-25,-13.624228,2.2123
"52",2017-10-07,-13.37481,2.082035
"53",2017-10-19,-13.624214,2.089775
"54",2017-10-31,-13.874678,2.284165
"55",2017-11-12,-13.374474,2.351949
"56",2017-11-24,-13.374461,2.240848
"57",2017-12-06,-13.624409,2.350073
"58",2017-12-18,-12.62422,2.051421
"59",2017-12-30,-13.873979,2.124431
"60",2018-01-11,-13.37448,2.02583
"61",2018-01-23,-14.124376,2.239935
"62",2018-02-04,-12.374736,1.743875
"63",2018-02-16,-13.374643,1.843463
"64",2018-02-28,-13.624349,2.159806
"65",2018-03-12,-13.124877,1.990105
"66",2018-03-24,-12.624482,1.79768
"67",2018-04-05,-13.624192,2.231357
"68",2018-04-17,-13.124078,1.894031
"69",2018-04-29,-12.87495,1.901306
"70",2018-05-11,-13.374952,2.011904
"71",2018-05-23,-13.124617,2.219957
"72",2018-06-04,-12.874423,2.049504
"73",2018-06-16,-13.374363,2.12085
"74",2018-06-28,-13.374417,2.16289
"75",2018-07-10,-13.624659,2.047208
"76",2018-07-22,-13.374428,2.031577
"77",2018-08-03,-13.87467,2.175686
"78",2018-08-15,-14.124421,2.3159
"79",2018-08-27,-13.874838,2.257581
"80",2018-09-08,-13.624537,2.147917
"81",2018-09-20,-14.124549,2.350075
"82",2018-10-02,-13.87451,2.365655
"83",2018-10-14,-13.874456,2.435237
"84",2018-10-26,-12.624508,2.005086
"85",2018-11-07,-12.874496,2.064985
"86",2018-11-19,-13.624458,2.426064
"87",2018-12-01,-13.624236,2.344008
"88",2018-12-13,-13.374562,2.335555
"89",2018-12-25,-13.874346,2.39634
"90",2019-01-06,-13.624491,2.290223
"91",2019-01-18,-14.124284,2.364167
"92",2019-01-30,-13.374341,2.130828
"93",2019-02-11,-13.873771,2.465897
"94",2019-02-23,-13.12434,1.997906
"95",2019-03-07,-13.87387,2.35405
"96",2019-03-19,-14.374449,2.772229
"97",2019-03-31,-13.124515,1.990312
"98",2019-04-12,-13.124501,1.940978
"99",2019-04-24,-13.124895,1.935406
"100",2019-05-06,-12.87444,1.872912
"101",2019-05-18,-13.124792,1.944402
"102",2019-05-30,-13.374711,2.102303
"103",2019-06-11,-12.624046,1.821345
"104",2019-06-23,-13.124232,1.86493
"105",2019-07-05,-13.625242,2.043437
"106",2019-07-17,-14.12497,2.116662
"107",2019-07-29,-12.874346,1.781793
"108",2019-08-10,-13.374619,2.111664
"109",2019-08-22,-12.874446,1.987207
"110",2019-09-03,-13.874637,2.218943
"111",2019-09-15,-13.874924,2.147112
"112",2019-09-27,-12.874933,1.854842
"113",2019-10-09,-13.37455,2.195449
"114",2019-10-21,-14.124382,2.335553
"115",2019-11-02,-12.874783,1.862466
"116",2019-11-14,-13.124503,1.881514
"117",2019-11-26,-13.374462,1.979228
"118",2019-12-08,-12.624671,1.793324
"119",2019-12-20,-13.874423,2.405003
"120",2020-01-01,-12.874514,1.883147
"121",2020-01-13,-13.874223,2.2343
"122",2020-02-06,-14.124347,2.471695
"123",2020-02-18,-13.874108,2.496054
"124",2020-03-01,-14.124413,2.414992
"125",2020-03-13,-12.874258,1.851031
"126",2020-03-25,-14.187111,2.348394
"127",2020-04-06,-13.562432,2.284854
"128",2020-04-18,-12.874354,1.977626
"129",2020-04-30,-13.624786,2.036786
"130",2020-05-12,-14.124374,2.184286
"131",2020-05-24,-13.437456,2.049909
"132",2020-06-05,-13.874296,2.134739
"133",2020-06-17,-13.124824,1.957812
"134",2020-06-29,-13.562441,2.049561
"135",2020-07-11,-13.562442,2.07986
"136",2020-07-23,-13.812254,2.047616
"137",2020-08-04,-13.374396,1.869804
"138",2020-08-16,-13.374501,2.144194
"139",2020-08-28,-13.124891,1.91737
"140",2020-09-09,-13.81214,2.127088
"141",2020-09-21,-14.124403,2.214163
"142",2020-10-15,-13.687443,2.131278
