"","date","VV_hectareID_NA","VV_sd_hectareID_NA"
"1",2016-01-10,-7.874218,2.433736
"2",2016-01-22,-7.374351,1.990894
"3",2016-02-03,-8.123937,2.4870905
"4",2016-02-15,-8.062123,2.457016
"5",2016-02-27,-8.373845,2.555007
"6",2016-03-10,-8.374223,2.576944
"7",2016-04-03,-7.123807,1.852197
"8",2016-04-15,-7.624542,2.158443
"9",2016-04-27,-7.81208,2.351538
"10",2016-05-09,-8.062008,2.347741
"11",2016-05-21,-7.187438,1.778697
"12",2016-06-02,-7.437417,2.127644
"13",2016-06-14,-7.687156,1.823137
"14",2016-07-08,-7.187481,1.973001
"15",2016-07-20,-7.687068,1.893252
"16",2016-08-01,-7.68747,1.951991
"17",2016-08-13,-8.062395,2.129742
"18",2016-08-25,-7.624359,1.858549
"19",2016-09-06,-7.624567,1.893861
"20",2016-09-18,-8.312376,2.251479
"21",2016-09-30,-7.624583,2.04059
"22",2016-10-12,-7.812274,2.137143
"23",2016-10-24,-7.81236,2.180368
"24",2016-11-05,-7.937082,2.301218
"25",2016-11-17,-7.124516,1.817978
"26",2016-11-29,-7.624491,2.005705
"27",2016-12-11,-8.187252,2.104362
"28",2016-12-23,-7.562376,1.985722
"29",2017-01-04,-8.124191,2.138206
"30",2017-01-16,-8.062433,2.253864
"31",2017-01-28,-7.812371,2.324837
"32",2017-02-09,-7.124394,1.720941
"33",2017-02-21,-7.062207,1.730882
"34",2017-03-05,-8.062355,2.311308
"35",2017-03-17,-7.062368,1.734439
"36",2017-03-29,-7.374624,1.714796
"37",2017-04-10,-7.124655,1.820962
"38",2017-04-22,-8.062289,2.069366
"39",2017-05-04,-7.124944,1.824241
"40",2017-05-16,-7.874613,2.124203
"41",2017-05-28,-6.624837,1.839288
"42",2017-06-09,-6.874435,1.935064
"43",2017-06-21,-7.374217,1.979329
"44",2017-07-03,-6.875011,1.722487
"45",2017-07-15,-6.937581,1.876193
"46",2017-07-27,-7.187326,1.919986
"47",2017-08-08,-7.31257,1.976353
"48",2017-08-20,-7.624787,2.117427
"49",2017-09-01,-7.312397,2.042572
"50",2017-09-13,-7.562365,1.922845
"51",2017-09-25,-7.623967,2.118938
"52",2017-10-07,-7.374234,1.995835
"53",2017-10-19,-7.437564,1.994693
"54",2017-10-31,-7.937202,2.202967
"55",2017-11-12,-7.62459,2.220129
"56",2017-11-24,-7.437453,2.156412
"57",2017-12-06,-7.874135,2.316729
"58",2017-12-18,-6.874674,1.987264
"59",2017-12-30,-7.624423,2.126318
"60",2018-01-11,-7.312388,1.992726
"61",2018-01-23,-7.937356,2.248533
"62",2018-02-04,-6.812398,1.716357
"63",2018-02-16,-7.312441,1.852121
"64",2018-02-28,-7.562436,2.182398
"65",2018-03-12,-7.312214,1.99587
"66",2018-03-24,-6.937326,1.704692
"67",2018-04-05,-7.374265,2.197145
"68",2018-04-17,-7.187369,1.782058
"69",2018-04-29,-6.874395,1.849242
"70",2018-05-11,-7.374809,1.852049
"71",2018-05-23,-7.062183,2.008284
"72",2018-06-04,-6.874541,1.896067
"73",2018-06-16,-7.062124,2.064662
"74",2018-06-28,-6.87462,2.086477
"75",2018-07-10,-7.124338,2.022977
"76",2018-07-22,-6.812717,1.973087
"77",2018-08-03,-7.374356,2.116194
"78",2018-08-15,-7.87426,2.231446
"79",2018-08-27,-7.562494,2.183288
"80",2018-09-08,-7.437356,1.995546
"81",2018-09-20,-7.874191,2.210069
"82",2018-10-02,-7.562377,2.236314
"83",2018-10-14,-7.812375,2.273143
"84",2018-10-26,-6.874914,1.815825
"85",2018-11-07,-7.124077,1.856548
"86",2018-11-19,-7.437246,2.249968
"87",2018-12-01,-7.56217,2.146704
"88",2018-12-13,-7.124029,2.198211
"89",2018-12-25,-7.874247,2.212169
"90",2019-01-06,-7.624241,2.19786
"91",2019-01-18,-7.874159,2.227113
"92",2019-01-30,-7.373979,1.95253
"93",2019-02-11,-7.874281,2.301324
"94",2019-02-23,-7.124547,1.807204
"95",2019-03-07,-7.374287,2.114312
"96",2019-03-19,-8.123799,2.470553
"97",2019-03-31,-6.874756,1.793424
"98",2019-04-12,-6.874862,1.786306
"99",2019-04-24,-6.937198,1.800646
"100",2019-05-06,-6.625009,1.751872
"101",2019-05-18,-6.937295,1.810204
"102",2019-05-30,-6.874625,2.072159
"103",2019-06-11,-6.43714,1.685337
"104",2019-06-23,-6.937324,1.763794
"105",2019-07-05,-7.062222,1.942013
"106",2019-07-17,-7.374379,2.07835
"107",2019-07-29,-6.624676,1.70232
"108",2019-08-10,-6.874605,1.990147
"109",2019-08-22,-6.874624,1.817146
"110",2019-09-03,-7.187444,2.089528
"111",2019-09-15,-7.187511,2.049367
"112",2019-09-27,-6.624774,1.728823
"113",2019-10-09,-7.062572,2.048751
"114",2019-10-21,-7.374408,2.22221
"115",2019-11-02,-6.624281,1.758099
"116",2019-11-14,-6.874716,1.741152
"117",2019-11-26,-7.124813,1.80367
"118",2019-12-08,-6.624402,1.641234
"119",2019-12-20,-7.374612,2.251528
"120",2020-01-01,-6.874352,1.79817
"121",2020-01-13,-7.37421,2.189326
"122",2020-02-06,-7.623605,2.388969
"123",2020-02-18,-7.687388,2.345406
"124",2020-03-01,-7.623997,2.319999
"125",2020-03-13,-6.874405,1.805972
"126",2020-03-25,-7.687424,2.16311
"127",2020-04-06,-7.31217,2.107401
"128",2020-04-18,-6.874239,1.885319
"129",2020-04-30,-7.062027,2.016406
"130",2020-05-12,-7.437437,2.134114
"131",2020-05-24,-6.687293,2.008694
