"","date","VHVV_ratio_hectareID_NA","VHVV_ratio_sd_hectareID_NA"
"1",2016-01-10,0.285144,0.101173
"2",2016-01-22,0.304632,0.107546
"3",2016-02-03,0.2577545,0.1041675
"4",2016-02-15,0.261695,0.095382
"5",2016-02-27,0.257748,0.094807
"6",2016-03-10,0.253893,0.093622
"7",2016-04-03,0.257711,0.094371
"8",2016-04-15,0.257741,0.097773
"9",2016-04-27,0.253891,0.095409
"10",2016-05-09,0.261707,0.099751
"11",2016-05-21,0.273379,0.101798
"12",2016-06-02,0.257743,0.098759
"13",2016-06-14,0.273343,0.100643
"14",2016-07-08,0.253896,0.096234
"15",2016-07-20,0.273367,0.100545
"16",2016-08-01,0.257733,0.097103
"17",2016-08-13,0.273343,0.100238
"18",2016-08-25,0.273355,0.101227
"19",2016-09-06,0.27732,0.104011
"20",2016-09-18,0.285144,0.108778
"21",2016-09-30,0.273325,0.099638
"22",2016-10-12,0.27338,0.10122
"23",2016-10-24,0.273361,0.098117
"24",2016-11-05,0.273362,0.097546
"25",2016-11-17,0.28899,0.099999
"26",2016-11-29,0.273341,0.094707
"27",2016-12-11,0.273359,0.09665
"28",2016-12-23,0.273323,0.094031
"29",2017-01-04,0.257775,0.093198
"30",2017-01-16,0.257735,0.092954
"31",2017-01-28,0.261705,0.095303
"32",2017-02-09,0.289021,0.103667
"33",2017-02-21,0.273393,0.098093
"34",2017-03-05,0.257737,0.092134
"35",2017-03-17,0.257753,0.094727
"36",2017-03-29,0.273385,0.100082
"37",2017-04-10,0.257742,0.091728
"38",2017-04-22,0.26168,0.093243
"39",2017-05-04,0.273373,0.096525
"40",2017-05-16,0.25777,0.09616
"41",2017-05-28,0.257755,0.09516
"42",2017-06-09,0.261695,0.095536
"43",2017-06-21,0.257711,0.094785
"44",2017-07-03,0.269519,0.099235
"45",2017-07-15,0.273369,0.100051
"46",2017-07-27,0.257712,0.094189
"47",2017-08-08,0.253875,0.095637
"48",2017-08-20,0.269496,0.099228
"49",2017-09-01,0.269508,0.100593
"50",2017-09-13,0.289012,0.10621
"51",2017-09-25,0.273381,0.101209
"52",2017-10-07,0.273376,0.102039
"53",2017-10-19,0.2734,0.103289
"54",2017-10-31,0.288995,0.105772
"55",2017-11-12,0.304643,0.110856
"56",2017-11-24,0.273353,0.097123
"57",2017-12-06,0.288979,0.100133
"58",2017-12-18,0.261702,0.093108
