"","date","VV_hectareID_12","VV_sd_hectareID_12","VV_hectareID_02","VV_sd_hectareID_02","VV_hectareID_06","VV_sd_hectareID_06","VV_hectareID_11","VV_sd_hectareID_11","VV_hectareID_63","VV_sd_hectareID_63","VV_hectareID_62","VV_sd_hectareID_62","VV_hectareID_61","VV_sd_hectareID_61","VV_hectareID_26","VV_sd_hectareID_26","VV_hectareID_25","VV_sd_hectareID_25","VV_hectareID_24","VV_sd_hectareID_24","VV_hectareID_23","VV_sd_hectareID_23","VV_hectareID_21","VV_sd_hectareID_21","VV_hectareID_22","VV_sd_hectareID_22","VV_hectareID_20","VV_sd_hectareID_20","VV_hectareID_64","VV_sd_hectareID_64","VV_hectareID_34","VV_sd_hectareID_34","VV_hectareID_33","VV_sd_hectareID_33","VV_hectareID_32","VV_sd_hectareID_32","VV_hectareID_31","VV_sd_hectareID_31","VV_hectareID_30","VV_sd_hectareID_30","VV_hectareID_29","VV_sd_hectareID_29","VV_hectareID_28","VV_sd_hectareID_28","VV_hectareID_42","VV_sd_hectareID_42","VV_hectareID_41","VV_sd_hectareID_41","VV_hectareID_39","VV_sd_hectareID_39","VV_hectareID_38","VV_sd_hectareID_38","VV_hectareID_37","VV_sd_hectareID_37","VV_hectareID_35","VV_sd_hectareID_35","VV_hectareID_50","VV_sd_hectareID_50","VV_hectareID_48","VV_sd_hectareID_48","VV_hectareID_47","VV_sd_hectareID_47","VV_hectareID_46","VV_sd_hectareID_46","VV_hectareID_45","VV_sd_hectareID_45","VV_hectareID_44","VV_sd_hectareID_44","VV_hectareID_43","VV_sd_hectareID_43","VV_hectareID_58","VV_sd_hectareID_58","VV_hectareID_57","VV_sd_hectareID_57","VV_hectareID_56","VV_sd_hectareID_56","VV_hectareID_55","VV_sd_hectareID_55","VV_hectareID_54","VV_sd_hectareID_54","VV_hectareID_52","VV_sd_hectareID_52","VV_hectareID_51","VV_sd_hectareID_51","VV_hectareID_59","VV_sd_hectareID_59","VV_hectareID_49","VV_sd_hectareID_49","VV_hectareID_53","VV_sd_hectareID_53"
"1",2016-01-10,-7.251779,1.255528,-7.503227,0.94207,-7.365845,0.857519,-7.071125,0.835301,NA,NA,NA,NA,NA,NA,-7.735349,0.943761,NA,NA,-8.515856,1.386046,NA,NA,NA,NA,-7.112579,1.65736,NA,NA,NA,NA,NA,NA,-7.974329,0.637345,NA,NA,-6.478222,0.728906,-7.424981,2.299614,NA,NA,-6.698181,1.204035,-8.67637,0.661188,-7.635985,0.60438,-7.879221,0.812211,-6.515681,0.893906,-7.830031,1.237312,-8.547511,1.532449,-8.120105,0.78276,-7.855058,0.964253,-10.314233,3.556802,-6.861297,1.046821,-7.758709,0.734177,-7.775578,0.749291,-7.616634,0.887233,-8.139289,0.914371,-5.991441,2.67275,-8.164163,0.550879,-6.185242,1.13834,-6.91264,1.261886,-7.761681,1.375779,-7.145495,0.76446,-6.835806,1.310244,-8.200666,0.9535,-8.677062,2.484391
"2",2016-01-22,-6.700835,1.078018,-6.826719,0.920484,-6.799945,1.056101,-6.573307,1.37989,NA,NA,NA,NA,NA,NA,-6.980052,1.099681,NA,NA,-7.348744,1.47707,NA,NA,NA,NA,-5.913614,1.063914,NA,NA,NA,NA,NA,NA,-6.868497,0.650321,NA,NA,-6.717711,0.806316,-6.061566,2.321132,NA,NA,-5.328731,1.416561,-7.218087,0.862679,-6.741201,0.77158,-7.202174,1.032764,-6.252472,0.696944,-5.915482,0.903861,-8.04154,1.915993,-6.478675,0.765766,-7.206459,0.94168,-8.013442,3.10094,-6.71059,0.7325,-7.548695,0.841582,-6.883802,0.774995,-6.674162,1.006533,-5.694247,0.821805,-6.83929,2.507572,-6.952847,0.743512,-5.201684,1.563056,-5.354339,1.530374,-6.885438,1.587363,-5.425016,0.906259,-6.226196,1.557438,-6.717108,1.090636,-8.293707,2.225894
"3",2016-02-03,-6.7337485,1.132848,-7.1494515,0.6642565,-7.69722,1.665324,-7.0243635,0.7187435,NA,NA,NA,NA,NA,NA,-7.393044,1.1633775,NA,NA,-9.3698635,1.476464,NA,NA,NA,NA,-7.0739575,0.8325365,NA,NA,NA,NA,NA,NA,-7.6727285,0.876941,NA,NA,-7.857038,0.997134,-8.1174595,2.8144405,NA,NA,-6.771568,1.217887,-8.380951,0.888029,-7.8946605,1.1822725,-7.8118005,0.798867,-7.3704155,0.61732,-10.375088,1.1506805,-8.953546,2.2011995,-7.874453,0.595317,-8.6573225,0.7666865,-9.8553795,3.969799,-7.472581,0.760736,-8.5083645,0.7540595,-7.7605885,0.7503825,-7.627646,1.2157035,-7.0330805,1.315292,-6.372929,2.727484,-7.566957,0.973091,-6.081834,0.721819,-7.070731,1.681735,-7.1175855,1.302094,-6.6035675,1.309299,-7.136411,1.5740055,-7.8580085,1.3676085,-9.092398,2.4612365
"4",2016-02-15,-7.610463,1.413622,-7.450977,0.558864,-6.960302,1.032085,-6.770017,0.873945,NA,NA,NA,NA,NA,NA,-8.142266,1.436954,NA,NA,-8.764262,1.720098,NA,NA,NA,NA,-6.801191,1.094104,NA,NA,NA,NA,NA,NA,-7.285501,0.757915,NA,NA,-7.746102,0.775446,-7.87341,2.3506,NA,NA,-6.114281,0.981457,-7.902311,0.63814,-7.370023,0.813993,-7.721286,1.111534,-7.23673,0.912266,-9.918317,0.928659,-7.751767,1.888687,-7.211177,0.700702,-8.360521,0.883762,-8.752076,3.491,-7.364135,1.009798,-7.838855,0.721779,-7.763904,0.985183,-6.970843,1.222138,-7.210338,0.909153,-7.734423,2.098622,-7.175922,1.228868,-5.956479,0.651885,-6.324859,1.779672,-7.239153,1.12908,-6.864944,1.088987,-6.823572,1.651823,-7.269771,1.084376,-8.596527,2.551977
"5",2016-02-27,-7.293053,1.0147,-7.473314,0.638348,-7.833421,1.013714,-6.672017,1.088872,NA,NA,NA,NA,NA,NA,-7.358387,1.516936,NA,NA,-8.514974,1.759727,NA,NA,NA,NA,-6.71132,1.11311,NA,NA,NA,NA,NA,NA,-7.72363,0.97638,NA,NA,-8.044501,0.910734,-7.58228,2.209617,NA,NA,-6.675045,0.897615,-8.134365,0.804482,-7.522718,0.854099,-7.498552,0.83505,-7.681267,0.58326,-9.946119,1.173804,-8.603993,1.605561,-7.209229,0.885194,-8.003472,0.763116,-9.171653,2.984662,-7.869914,0.690971,-7.926289,0.668296,-8.243252,0.869178,-7.013527,0.895737,-6.995551,1.185002,-7.392814,2.161979,-7.700097,1.290446,-6.57102,1.444954,-7.236589,1.949619,-7.324034,1.125476,-6.236913,0.999024,-7.54843,1.531256,-8.038955,1.019113,-9.289476,2.672138
"6",2016-03-10,-6.89045,1.18464,-7.247393,0.818725,-7.259484,1.418933,-6.824494,1.174267,NA,NA,NA,NA,NA,NA,-7.475679,1.291513,NA,NA,-9.240965,1.738266,NA,NA,NA,NA,-6.83142,1.135829,NA,NA,NA,NA,NA,NA,-7.80204,1.030853,NA,NA,-7.581191,0.67261,-7.313173,2.414822,NA,NA,-7.13849,1.036106,-8.276513,0.852173,-7.697448,0.899366,-7.47604,0.887471,-7.50855,0.878008,-10.388488,0.887099,-8.87039,1.233857,-8.147725,0.788182,-7.890028,0.803473,-10.182448,4.332297,-8.227474,0.608139,-8.235608,0.772369,-7.963686,0.861255,-7.474739,1.023447,-7.33001,1.034132,-7.270053,2.722108,-8.122806,1.510703,-6.598667,1.496328,-6.096798,1.546861,-7.946125,1.278435,-6.644437,1.323698,-6.912352,1.517661,-7.798441,0.845121,-9.012361,2.489911
"7",2016-04-03,-7.567646,1.026212,-7.117451,0.88439,-7.509927,1.410495,-6.855843,1.187123,NA,NA,NA,NA,NA,NA,-7.728637,1.279762,NA,NA,-8.956425,1.87552,NA,NA,NA,NA,-7.846563,0.780507,NA,NA,NA,NA,NA,NA,-8.707702,1.058323,NA,NA,-7.758455,0.891915,-7.822046,2.453501,NA,NA,-6.949664,1.158764,-8.218817,1.005362,-7.428284,0.808612,-7.961484,1.075371,-7.707294,0.784472,-9.676026,0.821586,-8.794668,1.97089,-8.880249,0.733849,-8.696698,0.672094,-8.928918,3.561938,-7.816346,0.628283,-8.563213,1.041665,-8.268591,1.009594,-7.478412,1.219514,-8.147102,1.420099,-7.766374,2.322832,-7.649457,1.036535,-6.256678,1.086301,-6.580683,1.459473,-7.918479,1.23338,-8.105156,1.182199,-7.003986,1.416492,-7.507366,0.824504,-8.42248,2.434347
"8",2016-04-15,-7.670749,1.010041,-7.269034,0.712697,-7.678881,1.31893,-6.923099,1.027015,NA,NA,NA,NA,NA,NA,-8.391687,1.032771,NA,NA,-9.50353,1.801276,NA,NA,NA,NA,-7.610755,1.25214,NA,NA,NA,NA,NA,NA,-7.935505,1.232965,NA,NA,-7.777252,0.91433,-7.792025,1.774476,NA,NA,-7.521779,1.244461,-8.047068,0.99347,-7.582386,1.379562,-7.791365,0.910358,-8.175103,0.924149,-9.71738,0.795022,-9.409448,2.35164,-8.515331,0.862855,-8.397574,0.564314,-8.7741,3.825699,-8.00804,0.764725,-8.193323,0.904368,-8.398554,0.694553,-7.271822,0.894427,-9.134979,1.164538,-6.787576,2.704636,-8.131751,1.154056,-7.141327,1.318762,-8.139634,1.298287,-7.891896,1.194056,-7.248962,1.119861,-8.089323,1.780634,-6.955261,1.26238,-8.78559,2.357393
"9",2016-04-27,-7.83583,1.261468,-6.56193,1.041632,-7.830122,1.096473,-7.144234,1.004372,NA,NA,NA,NA,NA,NA,-8.123407,1.006815,NA,NA,-9.148365,1.89961,NA,NA,NA,NA,-7.505225,0.900737,NA,NA,NA,NA,NA,NA,-8.13849,0.987442,NA,NA,-7.762356,0.808743,-6.954976,2.327011,NA,NA,-7.103677,0.931196,-8.407413,0.780914,-7.735048,0.959344,-8.197542,0.795631,-7.633199,0.63305,-9.038718,0.789455,-8.82239,1.721934,-7.929841,0.943342,-8.035038,0.665105,-9.800191,3.681671,-8.105096,1.086395,-8.019781,0.94435,-8.545442,0.773363,-6.672109,0.864036,-9.331119,1.206137,-6.956363,2.711883,-7.355699,0.94876,-6.332144,1.101498,-6.345229,1.311856,-7.356862,1.296482,-7.711787,1.218311,-8.422088,1.923026,-8.604566,0.953238,-8.497105,1.963035
"10",2016-05-09,-7.68901,0.915123,-7.76676,1.034395,-8.078283,0.946234,-8.234803,1.053131,NA,NA,NA,NA,NA,NA,-8.054063,1.107907,NA,NA,-10.096717,1.957003,NA,NA,NA,NA,-8.023134,0.749109,NA,NA,NA,NA,NA,NA,-8.437432,0.957618,NA,NA,-7.272383,0.895334,-7.533808,2.415321,NA,NA,-8.140713,1.031869,-8.973179,0.977464,-8.445336,0.828725,-7.767757,0.827416,-8.503027,0.700368,-9.387289,0.845545,-8.878464,1.847947,-8.998954,0.873473,-7.980172,0.700616,-11.116698,3.826789,-8.829388,0.93388,-8.20771,0.965304,-8.357661,1.173699,-7.613384,0.919628,-8.982788,1.205741,-7.455893,2.034798,-8.170166,1.087252,-7.649519,1.014209,-6.752315,1.66666,-8.484083,1.27367,-7.736218,1.510209,-7.967254,1.867797,-8.324053,1.048546,-9.578646,2.338499
