"","date","VHVV_ratio_hectareID_12","VHVV_ratio_sd_hectareID_12","VHVV_ratio_hectareID_02","VHVV_ratio_sd_hectareID_02","VHVV_ratio_hectareID_06","VHVV_ratio_sd_hectareID_06","VHVV_ratio_hectareID_11","VHVV_ratio_sd_hectareID_11","VHVV_ratio_hectareID_63","VHVV_ratio_sd_hectareID_63","VHVV_ratio_hectareID_62","VHVV_ratio_sd_hectareID_62","VHVV_ratio_hectareID_61","VHVV_ratio_sd_hectareID_61","VHVV_ratio_hectareID_26","VHVV_ratio_sd_hectareID_26","VHVV_ratio_hectareID_25","VHVV_ratio_sd_hectareID_25","VHVV_ratio_hectareID_24","VHVV_ratio_sd_hectareID_24","VHVV_ratio_hectareID_23","VHVV_ratio_sd_hectareID_23","VHVV_ratio_hectareID_21","VHVV_ratio_sd_hectareID_21","VHVV_ratio_hectareID_22","VHVV_ratio_sd_hectareID_22","VHVV_ratio_hectareID_20","VHVV_ratio_sd_hectareID_20","VHVV_ratio_hectareID_64","VHVV_ratio_sd_hectareID_64","VHVV_ratio_hectareID_34","VHVV_ratio_sd_hectareID_34","VHVV_ratio_hectareID_33","VHVV_ratio_sd_hectareID_33","VHVV_ratio_hectareID_32","VHVV_ratio_sd_hectareID_32","VHVV_ratio_hectareID_31","VHVV_ratio_sd_hectareID_31","VHVV_ratio_hectareID_30","VHVV_ratio_sd_hectareID_30","VHVV_ratio_hectareID_29","VHVV_ratio_sd_hectareID_29","VHVV_ratio_hectareID_28","VHVV_ratio_sd_hectareID_28","VHVV_ratio_hectareID_42","VHVV_ratio_sd_hectareID_42","VHVV_ratio_hectareID_41","VHVV_ratio_sd_hectareID_41","VHVV_ratio_hectareID_39","VHVV_ratio_sd_hectareID_39","VHVV_ratio_hectareID_38","VHVV_ratio_sd_hectareID_38","VHVV_ratio_hectareID_37","VHVV_ratio_sd_hectareID_37","VHVV_ratio_hectareID_35","VHVV_ratio_sd_hectareID_35","VHVV_ratio_hectareID_50","VHVV_ratio_sd_hectareID_50","VHVV_ratio_hectareID_48","VHVV_ratio_sd_hectareID_48","VHVV_ratio_hectareID_47","VHVV_ratio_sd_hectareID_47","VHVV_ratio_hectareID_46","VHVV_ratio_sd_hectareID_46","VHVV_ratio_hectareID_45","VHVV_ratio_sd_hectareID_45","VHVV_ratio_hectareID_44","VHVV_ratio_sd_hectareID_44","VHVV_ratio_hectareID_43","VHVV_ratio_sd_hectareID_43","VHVV_ratio_hectareID_58","VHVV_ratio_sd_hectareID_58","VHVV_ratio_hectareID_57","VHVV_ratio_sd_hectareID_57","VHVV_ratio_hectareID_56","VHVV_ratio_sd_hectareID_56","VHVV_ratio_hectareID_55","VHVV_ratio_sd_hectareID_55","VHVV_ratio_hectareID_54","VHVV_ratio_sd_hectareID_54","VHVV_ratio_hectareID_52","VHVV_ratio_sd_hectareID_52","VHVV_ratio_hectareID_51","VHVV_ratio_sd_hectareID_51","VHVV_ratio_hectareID_59","VHVV_ratio_sd_hectareID_59","VHVV_ratio_hectareID_49","VHVV_ratio_sd_hectareID_49","VHVV_ratio_hectareID_53","VHVV_ratio_sd_hectareID_53"
"1",2016-01-10,0.29845,0.113303,0.365991,0.112278,0.326199,0.083641,0.264357,0.055974,NA,NA,NA,NA,NA,NA,0.26465,0.078567,NA,NA,0.243395,0.082012,NA,NA,NA,NA,0.314509,0.131915,NA,NA,NA,NA,NA,NA,0.312836,0.061889,NA,NA,0.279611,0.047761,0.179383,0.081615,NA,NA,0.249476,0.088757,0.333267,0.073938,0.299541,0.055482,0.239007,0.071476,0.295282,0.072816,0.276536,0.068315,0.290446,0.09156,0.330161,0.067022,0.31188,0.065274,0.32912,0.139465,0.265101,0.066753,0.277962,0.040454,0.279091,0.06978,0.330123,0.116082,0.392752,0.098997,0.208441,0.090889,0.311329,0.063821,0.282771,0.057473,0.318585,0.088261,0.314596,0.098911,0.262731,0.073748,0.303934,0.069327,0.311545,0.126199,0.26025,0.097346
"2",2016-01-22,0.365444,0.086943,0.274688,0.074225,0.314502,0.08396,0.315598,0.102608,NA,NA,NA,NA,NA,NA,0.285358,0.081572,NA,NA,0.285659,0.093208,NA,NA,NA,NA,0.302508,0.093335,NA,NA,NA,NA,NA,NA,0.324032,0.076182,NA,NA,0.340612,0.087001,0.224737,0.100735,NA,NA,0.29845,0.105233,0.270039,0.073926,0.280628,0.066122,0.35479,0.092153,0.339003,0.066267,0.318957,0.074012,0.362061,0.119108,0.325751,0.099442,0.34064,0.088649,0.361172,0.129406,0.278214,0.079227,0.315248,0.078747,0.257551,0.07423,0.333297,0.096884,0.282118,0.038316,0.333626,0.170816,0.296263,0.071318,0.303419,0.086144,0.233531,0.087945,0.280657,0.104904,0.21522,0.054814,0.259039,0.063467,0.330833,0.128379,0.341312,0.108978
"3",2016-02-03,0.254805,0.0743045,0.2874425,0.103339,0.298751,0.081991,0.239179,0.0562645,NA,NA,NA,NA,NA,NA,0.220476,0.079014,NA,NA,0.310979,0.092776,NA,NA,NA,NA,0.229039,0.0991825,NA,NA,NA,NA,NA,NA,0.270465,0.090388,NA,NA,0.234402,0.108047,0.193443,0.1070345,NA,NA,0.220313,0.0871845,0.264279,0.077979,0.239887,0.1221645,0.2109135,0.0572195,0.2640945,0.0562835,0.2643935,0.103992,0.236192,0.121021,0.336999,0.0651265,0.2669715,0.059463,0.333456,0.1604285,0.2733635,0.075872,0.2228605,0.0606645,0.249102,0.0649755,0.290953,0.065981,0.2568015,0.0763115,0.2502765,0.0953985,0.2043965,0.051294,0.2482485,0.095266,0.2609485,0.0892705,0.2238995,0.0630735,0.2272985,0.082273,0.2712175,0.0865015,0.2676405,0.1157535,0.269619,0.114036
"4",2016-02-15,0.306957,0.111876,0.357336,0.067596,0.277022,0.060867,0.348623,0.119841,NA,NA,NA,NA,NA,NA,0.30143,0.095768,NA,NA,0.258909,0.043852,NA,NA,NA,NA,0.264758,0.078366,NA,NA,NA,NA,NA,NA,0.241737,0.063904,NA,NA,0.284084,0.063963,0.189129,0.074057,NA,NA,0.235438,0.081716,0.279007,0.056603,0.233324,0.071838,0.273394,0.080705,0.260285,0.082383,0.219994,0.074604,0.243594,0.081282,0.283729,0.069099,0.278348,0.083399,0.304845,0.136166,0.264216,0.079024,0.278127,0.059766,0.25489,0.090948,0.243534,0.07091,0.327125,0.113517,0.330082,0.110915,0.217316,0.06097,0.243768,0.098578,0.177682,0.061543,0.205948,0.066174,0.256232,0.087122,0.243193,0.060787,0.271924,0.088173,0.282345,0.122241
"5",2016-02-27,0.225893,0.08729,0.253138,0.054537,0.330642,0.058424,0.275787,0.077287,NA,NA,NA,NA,NA,NA,0.238564,0.092254,NA,NA,0.249457,0.067719,NA,NA,NA,NA,0.24493,0.084527,NA,NA,NA,NA,NA,NA,0.290245,0.076798,NA,NA,0.284541,0.071177,0.209734,0.085765,NA,NA,0.246333,0.072419,0.244484,0.069542,0.238835,0.068501,0.229316,0.056786,0.241243,0.071797,0.272177,0.117703,0.261218,0.084712,0.274679,0.076724,0.240035,0.090901,0.327736,0.137659,0.25655,0.053763,0.230287,0.049895,0.269057,0.094658,0.23576,0.030306,0.287986,0.083482,0.311252,0.124022,0.208141,0.065752,0.25093,0.069093,0.221167,0.059759,0.188307,0.058053,0.207536,0.060206,0.300404,0.058362,0.293494,0.093268,0.315058,0.119105
"6",2016-03-10,0.255613,0.070265,0.261261,0.073325,0.215243,0.062532,0.25257,0.077024,NA,NA,NA,NA,NA,NA,0.201624,0.081016,NA,NA,0.237298,0.067759,NA,NA,NA,NA,0.227539,0.080828,NA,NA,NA,NA,NA,NA,0.238486,0.094545,NA,NA,0.27829,0.064934,0.197836,0.103358,NA,NA,0.295155,0.078169,0.23881,0.082164,0.228116,0.058579,0.202376,0.056059,0.294825,0.092074,0.271013,0.06443,0.272518,0.087051,0.31884,0.065474,0.188216,0.066332,0.316655,0.193074,0.293209,0.061286,0.270511,0.057336,0.273128,0.082412,0.251454,0.055062,0.2454,0.059241,0.28871,0.103885,0.207424,0.074549,0.307718,0.180034,0.227601,0.084794,0.256592,0.082183,0.219723,0.084391,0.217776,0.063803,0.264369,0.064505,0.29077,0.121883
"7",2016-04-03,0.282145,0.087415,0.272538,0.069884,0.247072,0.068929,0.219584,0.06797,NA,NA,NA,NA,NA,NA,0.250577,0.073992,NA,NA,0.250643,0.086667,NA,NA,NA,NA,0.29074,0.138782,NA,NA,NA,NA,NA,NA,0.258913,0.103354,NA,NA,0.310146,0.062413,0.238709,0.123385,NA,NA,0.302561,0.090909,0.227569,0.07211,0.241437,0.066444,0.235981,0.079492,0.283846,0.08178,0.245915,0.049344,0.305349,0.117546,0.327208,0.065119,0.285974,0.063289,0.246538,0.09872,0.221688,0.049264,0.25065,0.058003,0.330431,0.107678,0.250806,0.047445,0.278343,0.077234,0.297383,0.147286,0.221667,0.053746,0.259665,0.125194,0.194313,0.049917,0.270373,0.079586,0.260937,0.074492,0.193858,0.079177,0.199066,0.060723,0.274542,0.10049
"8",2016-04-15,0.260307,0.06924,0.22305,0.048981,0.289854,0.111694,0.229999,0.045965,NA,NA,NA,NA,NA,NA,0.28637,0.08118,NA,NA,0.239462,0.074916,NA,NA,NA,NA,0.219564,0.075212,NA,NA,NA,NA,NA,NA,0.243372,0.082146,NA,NA,0.282283,0.073297,0.251371,0.101471,NA,NA,0.287096,0.125793,0.212444,0.073308,0.268943,0.09841,0.23917,0.070124,0.2861,0.08486,0.254914,0.057246,0.224858,0.107566,0.284537,0.067846,0.260141,0.074264,0.280825,0.139144,0.267009,0.0616,0.28075,0.095043,0.279394,0.083972,0.230802,0.048391,0.358631,0.093432,0.291629,0.129748,0.263037,0.078605,0.269464,0.067652,0.322418,0.13045,0.247597,0.078757,0.222053,0.042517,0.277818,0.066447,0.177984,0.062034,0.27616,0.111667
"9",2016-04-27,0.269977,0.08988,0.173434,0.054621,0.274013,0.064073,0.247744,0.051432,NA,NA,NA,NA,NA,NA,0.256706,0.088616,NA,NA,0.20219,0.047677,NA,NA,NA,NA,0.281062,0.130488,NA,NA,NA,NA,NA,NA,0.252947,0.064813,NA,NA,0.243851,0.049497,0.21304,0.081117,NA,NA,0.251363,0.102326,0.219118,0.053496,0.321619,0.080482,0.247206,0.071793,0.273134,0.05355,0.265097,0.072198,0.246308,0.09703,0.239854,0.067233,0.236844,0.048879,0.267964,0.139358,0.264854,0.051407,0.238939,0.071463,0.282283,0.087068,0.223937,0.063338,0.365159,0.150311,0.233023,0.11448,0.225445,0.0584,0.240511,0.079288,0.219972,0.074103,0.2064,0.067105,0.229236,0.061336,0.282199,0.093489,0.303564,0.094699,0.275054,0.11213
"10",2016-05-09,0.262271,0.057504,0.237617,0.051739,0.328929,0.125288,0.278245,0.065396,NA,NA,NA,NA,NA,NA,0.262688,0.078864,NA,NA,0.270167,0.071065,NA,NA,NA,NA,0.276221,0.083262,NA,NA,NA,NA,NA,NA,0.244609,0.079781,NA,NA,0.214352,0.038461,0.221214,0.067205,NA,NA,0.321347,0.108516,0.236611,0.108198,0.287038,0.062549,0.238448,0.068463,0.285852,0.072833,0.244866,0.060928,0.266601,0.105623,0.323522,0.078033,0.21648,0.049163,0.382799,0.12488,0.269818,0.063466,0.198313,0.060859,0.255575,0.099472,0.231196,0.064646,0.384323,0.107215,0.246707,0.15576,0.244772,0.065716,0.280522,0.098438,0.31108,0.132804,0.243771,0.063693,0.254224,0.082442,0.297305,0.08723,0.267042,0.085037,0.249901,0.149272
