"","date","VV_hectareID_27","VV_sd_hectareID_27","VV_hectareID_26","VV_sd_hectareID_26","VV_hectareID_17","VV_sd_hectareID_17","VV_hectareID_24","VV_sd_hectareID_24","VV_hectareID_09","VV_sd_hectareID_09","VV_hectareID_11","VV_sd_hectareID_11","VV_hectareID_31","VV_sd_hectareID_31","VV_hectareID_07","VV_sd_hectareID_07","VV_hectareID_08","VV_sd_hectareID_08","VV_hectareID_12","VV_sd_hectareID_12","VV_hectareID_24","VV_sd_hectareID_24","VV_hectareID_25","VV_sd_hectareID_25","VV_hectareID_28","VV_sd_hectareID_28","VV_hectareID_18","VV_sd_hectareID_18","VV_hectareID_03","VV_sd_hectareID_03","VV_hectareID_30","VV_sd_hectareID_30","VV_hectareID_14","VV_sd_hectareID_14","VV_hectareID_04","VV_sd_hectareID_04","VV_hectareID_06","VV_sd_hectareID_06","VV_hectareID_20","VV_sd_hectareID_20","VV_hectareID_23","VV_sd_hectareID_23","VV_hectareID_05","VV_sd_hectareID_05","VV_hectareID_16","VV_sd_hectareID_16","VV_hectareID_01","VV_sd_hectareID_01","VV_hectareID_21","VV_sd_hectareID_21","VV_hectareID_02","VV_sd_hectareID_02","VV_hectareID_15","VV_sd_hectareID_15","VV_hectareID_13","VV_sd_hectareID_13","VV_hectareID_22","VV_sd_hectareID_22","VV_hectareID_19","VV_sd_hectareID_19","VV_hectareID_10","VV_sd_hectareID_10","VV_hectareID_29","VV_sd_hectareID_29"
"1",2016-01-10,-6.314577,1.047996,-7.61354,2.401125,-7.707678,1.45444,-7.215906,0.899767,-6.734217,1.350557,-7.047251,1.19195,-6.697042,0.880773,-6.923085,1.520274,-6.361029,1.166348,-6.665961,1.08294,-7.25753,1.438733,-5.737484,0.972649,-6.697493,1.406379,-6.892447,1.047517,-7.022373,1.178671,-6.805673,0.86612,-7.109404,1.120098,-6.701492,0.963859,-7.085812,0.799635,-6.514981,0.998705,-7.35429,1.256627,-8.059785,1.317039,-7.168654,0.972882,-6.231091,1.687508,-6.773849,1.402424,-6.643325,1.843527,-8.016578,1.509828,-6.56875,1.105802,-7.098594,1.096104,-7.625015,1.15109,-6.494912,0.868631,-6.664782,1.47629
"2",2016-01-22,-6.015877,1.020496,-8.090728,2.194321,-7.577293,1.299105,-6.895973,1.052041,-6.851698,1.556514,-6.269178,1.114204,-7.045466,0.689134,-6.329813,1.00049,-5.606329,1.224411,-6.460756,1.008215,-7.39134,1.184517,-6.396877,1.033421,-6.642126,1.0978,-6.629542,0.882024,-7.090561,1.382226,-6.396977,1.298698,-6.159212,1.265357,-6.35986,0.87447,-6.330773,1.398768,-6.473261,0.8081,-7.393393,1.424982,-6.969262,1.651109,-6.566606,0.994297,-5.741361,2.079639,-5.714143,1.163637,-5.764692,2.149876,-6.5315,1.19837,-7.485376,0.995422,-7.178939,1.190746,-7.581109,1.714244,-6.870393,0.852497,-6.426038,1.73312
"3",2016-02-03,-6.1020915,1.165633,-7.859022,1.657537,-7.3741835,1.027484,-6.936545,0.859096,-6.858912,1.8256775,-6.911228,1.192588,-6.793653,0.84492,-5.746393,1.618244,-6.579987,1.2723485,-7.5793425,1.243403,-6.89818,1.8839805,-6.577211,1.1637295,-7.546429,1.0783755,-7.295625,0.9550275,-7.312747,1.0336885,-6.084552,0.8076995,-6.757354,1.594454,-6.0950645,1.297771,-6.1129125,1.058355,-6.502221,0.9013755,-8.1066595,1.6286665,-7.2979275,1.3666185,-7.221019,0.7274495,-6.7597725,1.9060135,-6.8566295,1.288495,-6.8461325,1.8728955,-7.2775995,1.595057,-7.1546155,1.0759045,-7.5271615,1.1864365,-7.709872,1.294401,-6.9352625,0.81057,-7.888379,1.3854505
"4",2016-02-15,-6.261002,1.206543,-8.109076,1.622509,-7.674273,1.558744,-7.044589,0.973295,-7.463862,2.012521,-6.92123,0.904295,-6.735055,1.021386,-6.912667,1.167986,-6.565787,1.081469,-6.816042,1.537726,-7.770942,1.893786,-6.794954,1.000144,-6.854954,1.026856,-6.388958,1.141224,-7.871638,1.155555,-7.6319,0.993121,-6.94984,1.102872,-6.528765,1.630054,-6.38751,0.828156,-6.761231,0.834035,-6.867094,1.479528,-7.085046,1.122952,-6.728033,0.783425,-6.886014,1.859299,-6.996842,0.903082,-6.408131,1.802451,-7.169122,1.353816,-7.087034,1.517019,-7.14532,0.841958,-7.630101,1.086716,-7.077257,1.134505,-7.366681,1.43912
"5",2016-02-27,-6.074644,1.844541,-7.714092,1.889205,-7.839673,1.082476,-7.458758,1.117342,-7.285108,2.305283,-7.238494,1.116815,-6.831091,1.020955,-7.015643,0.943718,-6.180551,1.283878,-6.60507,1.015868,-7.952357,1.240267,-6.760179,1.091686,-7.256063,1.182346,-7.652638,0.818115,-7.672191,0.791324,-6.727254,0.78125,-6.726528,1.367141,-6.98023,1.306444,-6.046603,0.793116,-5.964488,0.735102,-7.101821,1.373836,-7.578247,1.618282,-6.70791,0.750296,-7.007683,2.071898,-6.932158,0.973395,-6.84953,1.96234,-7.048795,1.645896,-7.810629,1.14731,-7.66783,0.887743,-7.045963,1.03064,-7.205706,1.345638,-7.265527,1.394581
"6",2016-03-10,-6.924737,1.255891,-8.392791,1.88501,-7.362014,1.020414,-7.105696,1.11454,-7.086474,1.751345,-7.164427,1.415845,-7.026851,0.980889,-6.702658,1.164951,-6.199571,1.44665,-7.102625,0.969021,-7.795484,1.40471,-7.89675,1.197118,-6.294295,1.247242,-7.394062,0.732576,-7.616968,1.056845,-7.358376,1.384815,-6.88959,1.159684,-6.394243,1.515044,-6.803756,0.862058,-5.861794,0.997423,-7.86892,1.854831,-8.132949,1.319737,-6.100798,1.227383,-7.834375,2.006771,-6.898036,0.881846,-6.701489,1.566818,-7.215329,1.111428,-6.647234,1.544515,-7.456,0.923919,-7.691262,1.028391,-6.401453,1.580313,-7.427929,1.441275
"7",2016-04-03,-6.108269,1.41611,-8.232228,2.166007,-7.060439,1.123252,-7.582091,1.092588,-6.838203,1.630598,-7.16013,1.276942,-7.213412,1.061058,-6.099319,1.431705,-6.617146,0.9668,-6.581779,0.733546,-7.201281,1.182067,-6.890558,1.033655,-7.389722,1.437206,-6.535847,0.757316,-7.293058,1.007005,-6.633398,1.028566,-5.788083,1.933297,-6.51925,1.403966,-6.130479,0.826728,-6.523577,1.259677,-7.76962,1.79098,-7.831067,1.416129,-6.872113,0.723336,-6.272606,1.776967,-6.498284,0.864203,-6.243051,2.224346,-7.101044,1.304323,-6.331034,1.260827,-7.173825,0.811551,-6.943738,0.849181,-6.411918,1.005659,-6.886146,1.422651
"8",2016-04-15,-6.105796,1.3298,-7.463996,2.228794,-6.774314,0.972957,-7.92321,1.089551,-6.555537,2.008935,-7.082163,1.068655,-7.137269,0.920229,-6.63517,1.00062,-7.076255,0.884042,-6.932951,0.957097,-7.466122,1.145787,-6.30644,1.503248,-7.579136,1.660876,-6.051452,1.10423,-7.996511,1.083278,-7.222917,0.985117,-6.460901,1.261144,-6.313994,1.440567,-6.903187,1.191165,-6.727306,0.744317,-7.46349,1.356806,-7.610087,1.657917,-6.806739,1.344892,-6.954174,2.221403,-6.433637,1.120625,-6.16416,1.929654,-7.082109,1.455222,-7.405308,1.093332,-7.41456,0.800548,-6.673626,0.842925,-6.95435,1.155431,-7.019027,1.697257
"9",2016-04-27,-6.207349,1.198263,-7.11094,1.667737,-7.485844,1.296388,-7.212014,1.336632,-6.924474,2.507498,-7.289171,1.349786,-6.709214,1.089925,-6.951569,1.067236,-6.353893,0.771541,-7.545322,1.098789,-7.229342,1.084825,-6.276428,1.082116,-6.249933,1.100943,-6.734788,1.109099,-7.208156,1.35206,-6.925456,1.082453,-7.035893,1.521869,-5.966585,1.747795,-6.671649,0.971176,-6.834272,1.039797,-7.441177,1.439439,-8.137315,1.264424,-7.434716,1.090588,-6.46142,1.832277,-6.136974,1.040559,-6.095295,1.999263,-7.395744,1.491772,-6.889792,1.160748,-6.861607,0.9216,-7.068968,1.186242,-6.531573,1.039489,-6.800449,1.005044
"10",2016-05-09,-5.762327,1.462999,-7.496642,2.156108,-7.604559,1.096661,-7.511013,1.079031,-6.866944,1.917439,-7.636409,1.393061,-7.080038,0.892275,-7.066609,0.863195,-6.578611,1.041207,-7.085439,0.925806,-8.046877,1.514043,-6.420278,1.044983,-6.98271,1.245203,-6.675788,1.377023,-8.201627,1.375652,-6.910745,1.099008,-5.984514,1.569124,-6.853415,1.131806,-6.293117,1.035878,-5.948014,0.751783,-7.775857,1.355272,-8.114734,1.012568,-7.114784,0.862248,-6.844561,2.041051,-7.222409,0.96129,-5.961908,2.048729,-6.223392,1.679301,-7.016889,0.812704,-7.524249,0.779028,-7.34968,1.089805,-6.716017,1.250537,-6.770339,1.067628
